"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,
,,,,,,,
,,,,,,,
solution_group,solution_priority_action_area,solution_name,stakeholder,state,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Ohio,15381.27237,11234853.66,11219472.39
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,Florida,5341233.819,2899387.424,-2441846.395
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Wisconsin,344895.6836,6197143.126,5852247.443
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,West Virginia,952288.7054,1060466.928,108178.2226
Recycling,Recycle Anything Remaining,Community Composting,Consumers,Michigan,56998.36613,0,-56998.36613
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Illinois,0,4282763.768,4282763.768
Rescue,Strengthen Food Rescue,Donation Transportation,Producers,Utah,1936.842181,0,-1936.842181
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,Tennessee,1305734.146,0,-1305734.146
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Vermont,1329.784754,6751.345669,5421.560916
Prevention,Reshape Consumer Environments,Portion Sizes,Consumers,Ohio,0,338712861.3,338712861.3
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Foodservice,New Mexico,82198.71057,124329.2604,42130.54988
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Foodservice,Maine,703.2481424,53253.07176,52549.82361
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Nebraska,1871136.77,4117145.003,2246008.233
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Pennsylvania,0,13676.23465,13676.23465
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Oregon,265765.4432,4775317.779,4509552.335
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Washington,36223.15319,26075.40323,-10147.74996
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Arizona,0,204336512.1,204336512.1
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Washington,0,3854.822379,3854.822379
Prevention,Enhance Product Distribution,Decreased Transit Time,Producers,California,8077210.074,42493277.91,34416067.84
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Maine,531533.1805,2261449.075,1729915.894
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Utah,3929.633772,2862450.596,2858520.962
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Tennessee,0,8929.867879,8929.867879
Prevention,Reshape Consumer Environments,Meal Kits,Consumers,New Jersey,18685277.25,186852772.5,168167495.3
Prevention,Reshape Consumer Environments,Small Plates,Foodservice,Oklahoma,308086.6612,3010005.589,2701918.927
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Maine,7470.973351,5378.014487,-2092.958864
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,Wyoming,0,144228.3865,144228.3865
Prevention,Reshape Consumer Environments,Standardized Date Labels,Retailers,Virginia,11764.75512,9310100.339,9298335.584
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,Connecticut,824251.2832,16293898.42,15469647.14
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Colorado,0,6432651.146,6432651.146
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Idaho,4456576.873,9806003.225,5349426.352
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Nebraska,525088.5792,550039.9416,24951.36246
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Hawaii,0,696493.3939,696493.3939
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Manufacturers,Delaware,840027.4404,0,-840027.4404
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,South Carolina,93003.30034,64541.41173,-28461.88861
Rescue,Strengthen Food Rescue,Donation Education,Producers,Hawaii,102813.28,0,-102813.28
Prevention,Maximize Product Utilization,Manufacturing Line Optimization,Manufacturers,Texas,17575466.39,38672076.12,21096609.74
Prevention,Optimize The Harvest,Gleaning,Producers,Nebraska,96.95245785,0,-96.95245785
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Nebraska,22630.24173,16191.61286,-6438.628871
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,North Dakota,1602678.765,1798526.034,195847.2694
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,Massachusetts,98996.27253,70830.41085,-28165.86168
Prevention,Refine Product Management,Dynamic Pricing,Retailers,South Dakota,2921328.718,3036334.384,115005.6659
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,Idaho,0,337518.0255,337518.0255
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Consumers,North Dakota,0,13354.94955,13354.94955
Prevention,Reshape Consumer Environments,Buffet Signage,Solution Providers,Connecticut,0,546.1318074,546.1318074
Rescue,Strengthen Food Rescue,Donation Transportation,Solution Providers,Tennessee,3279659.734,0,-3279659.734
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,South Carolina,171137.7088,0,-171137.7088
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Delaware,10509.08716,70885.3589,60376.27174
Prevention,Enhance Product Distribution,Intelligent Routing,Foodservice,Maryland,510820.756,1702145.785,1191325.029
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Producers,Mississippi,0,352.4127783,352.4127783
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,Mississippi,2191085.122,41423287.17,39232202.05
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Virginia,159747.7684,110860.0066,-48887.76176
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Manufacturers,Missouri,1428566.601,1732118.647,303552.0452
Recycling,Recycle Anything Remaining,Community Composting,Government,South Dakota,0,13256.35432,13256.35432
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,Utah,5889456.251,19624717.71,13735261.46
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,Maryland,0,27922984.8,27922984.8
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,Kentucky,0,50406.12757,50406.12757
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,Georgia,8674762.663,0,-8674762.663
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Oklahoma,131525.0704,0,-131525.0704
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,Montana,0,3164565.872,3164565.872
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Retailers,Illinois,2575007.216,50903052.1,48328044.88
Rescue,Strengthen Food Rescue,Donation Transportation,Producers,Oregon,913716.4933,0,-913716.4933
Prevention,Refine Product Management,Temperature Monitoring (foodservice),Solution Providers,Pennsylvania,0,7120.804599,7120.804599
Rescue,Strengthen Food Rescue,Donation Education,Solution Providers,Missouri,1183553.891,0,-1183553.891
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Producers,Mississippi,0,778.326408,778.326408
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Foodservice,Missouri,19503.94096,99021.92589,79517.98493
Prevention,Reshape Consumer Environments,Standardized Date Labels,Consumers,South Dakota,0,5649158.6,5649158.6
Prevention,Refine Product Management,Increased Delivery Frequency,Foodservice,North Dakota,13240.45711,56332.55005,43092.09293
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Arkansas,16238.79535,11618.62479,-4620.170558
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,Washington,0,6587187.439,6587187.439
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,South Dakota,864933.9664,1094422.984,229489.0173
Rescue,Strengthen Food Rescue,Donation Transportation,Government,South Dakota,92957.77206,0,-92957.77206
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Hawaii,293948.2813,1250625.724,956677.443
Recycling,Recycle Anything Remaining,Community Composting,Consumers,Maine,9428.682971,0,-9428.682971
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Alaska,0,517.9945318,517.9945318
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,Alaska,0,366191.5744,366191.5744
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Solution Providers,Illinois,0,8193457.699,8193457.699
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Tennessee,297.3655335,297.3655335,0
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Montana,0,1869.220573,1869.220573
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,Tennessee,0,21952198.31,21952198.31
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Ohio,1421136.882,0,-1421136.882
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Consumers,Nevada,0,7250692.835,7250692.835
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Arizona,0,2082725.211,2082725.211
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,Tennessee,0,1606317.177,1606317.177
Prevention,Reshape Consumer Environments,Small Plates,Foodservice,Washington,691833.5555,6759211.385,6067377.83
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,South Dakota,0,3162425.239,3162425.239
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Foodservice,Alabama,66319.31492,175531.246,109211.9311
Recycling,Recycle Anything Remaining,Co-digestion At Wastewater Treatment Plants,Government,New York,12007315.91,15193162.73,3185846.823
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Producers,Ohio,45156.23184,0,-45156.23184
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,South Carolina,14598822.92,45138589.48,30539766.56
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Wyoming,0,1105.55989,1105.55989
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,Virginia,0,28849378.65,28849378.65
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Producers,Florida,1470235.428,0,-1470235.428
Rescue,Strengthen Food Rescue,Donation Education,Manufacturers,Iowa,366875.2149,262493.9459,-104381.269
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Foodservice,Rhode Island,0,1746.777135,1746.777135
Prevention,Refine Product Management,Enhanced Demand Planning,Solution Providers,North Carolina,0,8727029.937,8727029.937
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Wyoming,26493.46098,134507.8687,108014.4077
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Producers,Minnesota,99657.56133,0,-99657.56133
Recycling,Recycle Anything Remaining,Community Composting,Solution Providers,Georgia,201703.7296,58729.54432,-142974.1852
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Minnesota,58333.00137,393464.7866,335131.7852
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,North Carolina,28807007.47,89069351.13,60262343.66
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,South Carolina,4869.39982,3505.25983,-1364.13999
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Government,Rhode Island,545174.1315,607104.8971,61930.76558
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,South Carolina,2782238.385,0,-2782238.385
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Massachusetts,0,27929.28037,27929.28037
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Consumers,West Virginia,0,8719701.316,8719701.316
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Colorado,270.4165354,270.4165354,0
Prevention,Enhance Product Distribution,Intelligent Routing,Solution Providers,Pennsylvania,0,29127324.82,29127324.82
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,West Virginia,33.17080871,33.17080871,0
Prevention,Enhance Product Distribution,Decreased Transit Time,Foodservice,Maine,69947.13273,367983.8611,298036.7284
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,Nebraska,171148.9838,0,-171148.9838
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Manufacturers,Minnesota,47515.32551,241236.3251,193720.9996
Recycling,Recycle Anything Remaining,Community Composting,Government,Massachusetts,0,121221.023,121221.023
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Nevada,0,1092.29354,1092.29354
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,Washington,0,71757509.01,71757509.01
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Florida,161129.7569,115989.9957,-45139.76121
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Maryland,205639.7852,0,-205639.7852
Prevention,Optimize The Harvest,Buyer Specification Expansion,Manufacturers,Massachusetts,0,1777103.221,1777103.221
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,Tennessee,2601405.701,0,-2601405.701
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Retailers,Minnesota,0,7550664.736,7550664.736
Prevention,Optimize The Harvest,Gleaning,Producers,North Dakota,212.096669,0,-212.096669
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,New York,12324827.68,233005496.3,220680668.7
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,Rhode Island,0,515228.6029,515228.6029
Rescue,Strengthen Food Rescue,Donation Education,Retailers,North Carolina,195713.2361,135818.928,-59894.3081
Rescue,Strengthen Food Rescue,Donation Education,Foodservice,New Jersey,646935.4709,978519.1044,331583.6335
Recycling,Recycle Anything Remaining,Centralized Composting,Producers,Georgia,0,32696.1732,32696.1732
Rescue,Strengthen Food Rescue,Donation Transportation,Foodservice,New Hampshire,102269.2167,154686.807,52417.5903
Prevention,Enhance Product Distribution,First Expired First Out,Manufacturers,Montana,9015.608948,35258.75716,26243.14821
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Solution Providers,Missouri,0,1371964.63,1371964.63
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Foodservice,North Dakota,17075.15013,25826.9354,8751.785269
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Delaware,3055883.499,3176186.262,120302.7631
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Solution Providers,Massachusetts,0,126626.3973,126626.3973
Prevention,Enhance Product Distribution,First Expired First Out,Retailers,Iowa,4360587.365,17053633.52,12693046.15
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Virginia,116041.7123,782718.6414,666676.9291
Rescue,Strengthen Food Rescue,Donation Education,Producers,Wisconsin,1049008.164,0,-1049008.164
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Georgia,3279341.68,13952213.11,10672871.43
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Kentucky,29390.92132,21157.18973,-8233.731593
Prevention,Enhance Product Distribution,Decreased Transit Time,Retailers,New Mexico,2715483.436,14285847.62,11570364.18
Recycling,Recycle Anything Remaining,Community Composting,Government,Kansas,0,45351.92943,45351.92943
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Foodservice,Maine,26026.89488,39366.85345,13339.95856
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Wyoming,97009.01836,1743074.21,1646065.192
Prevention,Enhance Product Distribution,Decreased Transit Time,Foodservice,Louisiana,279192.4197,1468799.372,1189606.952
Prevention,Optimize The Harvest,Buyer Specification Expansion,Producers,Michigan,174089.7866,52823822.14,52649732.36
Prevention,Reshape Consumer Environments,K-12 Lunch Improvements,Government,Illinois,310.7296414,310.7296414,0
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,New Hampshire,9.720358353,9.720358353,0
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Michigan,0,33105274.58,33105274.58
Recycling,Recycle Anything Remaining,Centralized Composting,Solution Providers,West Virginia,2082214.575,2336661.098,254446.5228
Prevention,Optimize The Harvest,Partial Order Acceptance,Retailers,Maine,369122.6787,386662.7931,17540.1144
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,Montana,1669983.515,5564682.657,3894699.142
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Washington,0,7558.34954,7558.34954
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Minnesota,186275.3333,129269.3156,-57006.01774
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,Kansas,1131240.216,0,-1131240.216
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,Alabama,0,14811044.28,14811044.28
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,California,198538.7404,142919.0243,-55619.71607
Rescue,Strengthen Food Rescue,Donation Transportation,Retailers,Iowa,100734.2482,69906.45021,-30827.79794
Prevention,Refine Product Management,Markdown Alert Applications,Solution Providers,Kansas,0,11209395.19,11209395.19
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Solution Providers,South Dakota,72742.51131,0,-72742.51131
Prevention,Refine Product Management,Assisted Distressed Sales,Solution Providers,Nevada,0,14822.88497,14822.88497
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Consumers,Colorado,0,1796197.59,1796197.59
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,Montana,0,2772.73017,2772.73017
Prevention,Reshape Consumer Environments,Trayless,Foodservice,Delaware,10574.0607,189996.485,179422.4243
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Retailers,Oklahoma,0,3534.700917,3534.700917
Recycling,Recycle Anything Remaining,Livestock Feed,Retailers,Virginia,8692.519786,6257.3503,-2435.169486
Rescue,Strengthen Food Rescue,Donation Value-added Processing,Solution Providers,Maine,147817.9179,0,-147817.9179
Recycling,Recycle Anything Remaining,Livestock Feed,Manufacturers,Michigan,57832.64838,41631.09761,-16201.55077
Prevention,Reshape Consumer Environments,Small Plates,Foodservice,Wyoming,133106.2809,1300447.892,1167341.612
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Rhode Island,276003.2558,1174277.224,898273.9679
Rescue,Strengthen Food Rescue,Donation Education,Producers,Arizona,5517087.076,0,-5517087.076
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,West Virginia,1467222.721,2022180.015,554957.2939
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,Oklahoma,3009354.286,4147602.138,1138247.852
Rescue,Strengthen Food Rescue,Donation Education,Government,Tennessee,1307887.785,0,-1307887.785
Recycling,Recycle Anything Remaining,Livestock Feed,Producers,Arkansas,912.082387,656.5666962,-255.5156908
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Government,New York,169962.1153,2061081.051,1891118.935
Prevention,Reshape Consumer Environments,Package Design,Consumers,South Carolina,0,47804839.25,47804839.25
Prevention,Refine Product Management,Waste Tracking (foodservice),Solution Providers,New Hampshire,0,4774784.26,4774784.26
Rescue,Strengthen Food Rescue,Donation Education,Government,South Carolina,853163.7908,0,-853163.7908
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,Colorado,0,10404005.18,10404005.18
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Foodservice,Oklahoma,52798.62531,356134.5953,303335.97
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,Indiana,2110403.463,14234985.83,12124582.37
Prevention,Enhance Product Distribution,Decreased Transit Time,Foodservice,Iowa,176716.2601,929684.0224,752967.7623
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,North Carolina,35673405.1,49586033.08,13912627.98
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Georgia,73000.37034,52549.65194,-20450.7184
Prevention,Optimize The Harvest,Partial Order Acceptance,Producers,Minnesota,0,746205.7056,746205.7056
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,New Mexico,0,1209392.667,1209392.667
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Maine,67505.99585,0,-67505.99585
Prevention,Refine Product Management,Dynamic Pricing,Solution Providers,Vermont,0,1746937.421,1746937.421
Prevention,Maximize Product Utilization,Active & Intelligent Packaging,Solution Providers,Wisconsin,0,4523812.439,4523812.439
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Florida,0,164783.5676,164783.5676
Recycling,Recycle Anything Remaining,Centralized Composting,Government,South Dakota,2394038.683,2304488.623,-89550.05988
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Manufacturers,Indiana,0,13253.81497,13253.81497
Prevention,Reshape Consumer Environments,K-12 Education Campaigns,Foodservice,Arkansas,9.056923222,9.056923222,0
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Arkansas,294533.7451,1549508.329,1254974.584
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Retailers,Illinois,510899.7046,2593848.74,2082949.036
Recycling,Recycle Anything Remaining,Centralized Composting,Retailers,Alaska,0,2411.742389,2411.742389
Recycling,Recycle Anything Remaining,Community Composting,Government,Pennsylvania,0,180646.5965,180646.5965
Rescue,Strengthen Food Rescue,Donation Transportation,Government,Hawaii,143224.3403,0,-143224.3403
Prevention,Optimize The Harvest,Partial Order Acceptance,Foodservice,Alabama,299820.4435,314067.4275,14246.98395
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Nebraska,46800.07492,33484.78129,-13315.29363
Prevention,Enhance Product Distribution,First Expired First Out,Foodservice,Texas,540085.1866,2112195.92,1572110.734
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,New Hampshire,2896.584232,9651.934823,6755.350591
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,Florida,0,15371586.94,15371586.94
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,Colorado,17206572.84,53201578.8,35995005.96
Prevention,Reshape Consumer Environments,Buffet Signage,Foodservice,South Carolina,915.4260744,2916965.26,2916049.834
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Government,Iowa,159910.977,0,-159910.977
Recycling,Recycle Anything Remaining,Centralized Composting,Manufacturers,Arizona,0,17274.3037,17274.3037
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Montana,13025.57537,9039.346126,-3986.22924
Prevention,Optimize The Harvest,Partial Order Acceptance,Manufacturers,West Virginia,0,5299.287952,5299.287952
Prevention,Optimize The Harvest,Buyer Specification Expansion,Retailers,Illinois,0,3179839.659,3179839.659
Prevention,Enhance Product Distribution,Intelligent Routing,Retailers,New Hampshire,4483560.114,14940021.25,10456461.14
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Retailers,Alabama,59069.55678,40992.44404,-18077.11274
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,Michigan,16257823.29,80075839.41,63818016.12
Prevention,Enhance Product Distribution,First Expired First Out,Manufacturers,Wisconsin,180446.908,705702.0493,525255.1413
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Consumers,Illinois,0,78420.68095,78420.68095
Rescue,Strengthen Food Rescue,Donation Education,Retailers,Colorado,132533.9918,91974.48802,-40559.50379
Prevention,Refine Product Management,Markdown Alert Applications,Retailers,Texas,29358127.58,104008804.6,74650677.03
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Government,Kentucky,159331.2052,0,-159331.2052
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Rhode Island,83657.19597,1555578.776,1471921.58
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,South Carolina,1692537.753,7201032.93,5508495.177
Prevention,Refine Product Management,Enhanced Demand Planning,Retailers,New Jersey,7114227.832,134497149.1,127382921.3
Recycling,Recycle Anything Remaining,Livestock Feed,Foodservice,Pennsylvania,74446.06024,53590.33845,-20855.72178
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Missouri,614754.1981,11431157.5,10816403.3
Prevention,Reshape Consumer Environments,Meal Kits,Retailers,Utah,0,15058.66023,15058.66023
Rescue,Strengthen Food Rescue,Donation Transportation,Consumers,Arkansas,0,12319954.5,12319954.5
Prevention,Enhance Product Distribution,Decreased Transit Time,Manufacturers,Georgia,386883.967,2035352.279,1648468.312
Recycling,Recycle Anything Remaining,Community Composting,Consumers,Massachusetts,46021.64884,0,-46021.64884
Recycling,Recycle Anything Remaining,Home Composting,Consumers,South Carolina,6551.976541,0,-6551.976541
Rescue,Strengthen Food Rescue,Donation Transportation,Manufacturers,Alaska,4985.71366,3567.206501,-1418.507159
Prevention,Enhance Product Distribution,Reduced Warehouse Handling,Manufacturers,California,193691.1775,983374.2557,789683.0782
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Solution Providers,Wyoming,153512.5008,213382.3761,59869.87529
Prevention,Refine Product Management,Decreased Minimum Order Quantity,Retailers,Rhode Island,238971.3739,1611897.527,1372926.153
Recycling,Recycle Anything Remaining,Centralized Composting,Foodservice,Arizona,0,53105.85131,53105.85131
Prevention,Maximize Product Utilization,Manufacturing Byproduct Utilization (upcycling),Manufacturers,Wyoming,0,157871.8484,157871.8484
Prevention,Reshape Consumer Environments,Standardized Date Labels,Foodservice,Missouri,0,3574025.161,3574025.161
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Government,Hawaii,200995.3164,0,-200995.3164
Prevention,Enhance Product Distribution,Intelligent Routing,Manufacturers,South Carolina,205379.7944,684362.073,478982.2786
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Foodservice,Louisiana,102309.0785,154747.0998,52438.0213
Prevention,Reshape Consumer Environments,Portion Sizes,Foodservice,Pennsylvania,1214529.832,22583793.39,21369263.56
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,Louisiana,906433.1781,0,-906433.1781
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Pennsylvania,0,73188217.07,73188217.07
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Solution Providers,Ohio,13423425.1,18500655.41,5077230.308
Prevention,Enhance Product Distribution,Temperature Monitoring (pallet Transport),Producers,Nebraska,456673.5155,896917.3383,440243.8228
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Retailers,Georgia,184220.6633,127843.4382,-56377.2251
Prevention,Refine Product Management,Minimized On Hand Inventory,Retailers,Ohio,1879264.778,23400157.68,21520892.9
Rescue,Strengthen Food Rescue,Donation Education,Consumers,Washington,0,461695388.5,461695388.5
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Manufacturers,Texas,128795.9792,92151.67288,-36644.30632
Prevention,Reshape Consumer Environments,Small Plates,Solution Providers,Massachusetts,0,917395.4907,917395.4907
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Utah,8908966.8,9259691.337,350724.5361
Rescue,Strengthen Food Rescue,Donation Education,Retailers,Nebraska,31491.62915,21854.21588,-9637.413272
Prevention,Optimize The Harvest,Imperfect & Surplus Produce Channels,Producers,Virginia,3427817.795,16883280.28,13455462.48
Prevention,Refine Product Management,Markdown Alert Applications,Foodservice,Wyoming,1507236.818,4660275.993,3153039.175
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Solution Providers,Hawaii,589374.9632,0,-589374.9632
Prevention,Refine Product Management,Dynamic Pricing,Retailers,Nebraska,5609346.212,5830172.644,220826.4317
Prevention,Optimize The Harvest,Gleaning,Solution Providers,New Mexico,116908.1365,0,-116908.1365
Rescue,Strengthen Food Rescue,Donation Transportation,Foodservice,Missouri,513465.3594,776639.5355,263174.1761
Prevention,Refine Product Management,Increased Delivery Frequency,Retailers,Alaska,238314.8099,1013928.812,775614.0022
